trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",35,0,-234.06935376227023,"{0: 18, 1: 5, 2: 7, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-201.62044444471465,"{0: 16, 1: 3, 2: 7, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,13,6.552504995569121,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-114.12463104839789,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-112.41136658458942,"{0: 8, 1: 6, 2: 3, 3: 3, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,10,-43.19616504415884,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-118.63916888745548,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-26.469966768017237,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-41.19600853485071,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,14,-30.370501710090185,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-94.62731574131926,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-34.597946060333584,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-98.026953364071,"{0: 24, 1: 0, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,8,-88.31495420621737,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,18,0.02722319908278714,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-36.49885557091336,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",35,10,-56.0656166196078,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,11,16.55484705361358,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,9,28.32222350498751,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,16.05482853534036,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,16,15.145809922240073,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,3,-9.682165172622959,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,2,-13.511320966116484,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,13,21.977717137801072,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",30,18,-20.50540299947169,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,12,-40.806081289379726,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-18.944341865505113,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,3.1874696438657395,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,6,0.09476093933204632,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,0,9.17967115800713,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
