trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.7}",30,0,-157.46683812675042,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 3}",0
2,False,"{'a': 0.7, 'e': 0.48999999999999994}",20,0,-59.72743125942086,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.7, 'e': 0.3429999999999999}",30,0,-38.65227599366788,"{0: 23, 1: 1, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.7, 'e': 0.24009999999999995}",35,22,-38.84743326681996,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
5,False,"{'a': 0.7, 'e': 0.16806999999999994}",30,0,-108.69100722209336,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.7, 'e': 0.11764899999999996}",25,0,-31.308289928474284,"{0: 22, 1: 0, 2: 0, 3: 3, 4: 0}",0
7,False,"{'a': 0.7, 'e': 0.08235429999999996}",20,16,5.863167400753475,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.7, 'e': 0.05764800999999997}",25,8,-51.434578751061125,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
9,False,"{'a': 0.7, 'e': 0.04035360699999998}",25,15,-1.4723312567980305,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.7, 'e': 0.02824752489999998}",25,0,-68.19602200726546,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
11,False,"{'a': 0.7, 'e': 0.019773267429999988}",25,13,13.986469625876799,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.7, 'e': 0.01384128720099999}",25,5,11.079571902906842,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.7, 'e': 0.009688901040699992}",20,15,0.8631704511971399,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.7, 'e': 0.006782230728489994}",30,15,24.14890432434507,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.7, 'e': 0.004747561509942996}",25,0,-74.28238370293856,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
16,False,"{'a': 0.7, 'e': 0.0033232930569600965}",20,16,7.536314798128908,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.7, 'e': 0.0023263051398720674}",20,12,10.356876757227978,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.7, 'e': 0.001628413597910447}",30,0,-8.807391989549354,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
19,False,"{'a': 0.7, 'e': 0.001139889518537313}",20,0,-0.19631968420703805,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
20,False,"{'a': 0.7, 'e': 0.0007979226629761189}",20,15,2.1964819785912404,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.7, 'e': 0.0005585458640832833}",30,21,16.903343170226876,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.7, 'e': 0.00039098210485829826}",25,19,-32.91775140155635,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
23,False,"{'a': 0.7, 'e': 0.0002736874734008088}",20,15,11.948003936707561,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.7, 'e': 0.00019158123138056612}",25,0,-33.609061313304174,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
25,False,"{'a': 0.7, 'e': 0.00013410686196639628}",20,0,29.111462094579156,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.7, 'e': 9.387480337647739e-05}",20,0,-100.67667617080107,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 2}",0
1,True,"{'a': 0.0, 'e': 0.0}",30,0,-80.23749618168249,"{0: 25, 1: 0, 2: 1, 3: 3, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,5,37.799422608451124,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,7,1.2008296840806387,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",30,4,-49.3741061374065,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 1}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-11.586571354367583,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,5,12.509309522896093,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,14,25.847656143356772,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,13,-20.021135738264434,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0.0, 'e': 0.0}",30,13,33.54002322354223,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,0,9.324587938696643,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
