trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,10,-67.49610043660272,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.25}",25,4,-89.44424514105945,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.1111111111111111}",20,0,-92.95336792256005,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.0625}",20,0,-73.65038948249162,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.04}",20,0,-68.15679212478813,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.027777777777777776}",20,0,-16.157465879492438,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.02040816326530612}",25,14,-6.7755977399722935,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.015625}",25,0,-66.77581987856578,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.012345679012345678}",30,13,-31.46303368783412,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.01}",20,10,16.14212146338554,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.008264462809917356}",20,0,-62.30905827017739,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.006944444444444444}",30,2,-165.73939324019074,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 4}",1
13,False,"{'a': 0.5, 'e': 0.005917159763313609}",20,10,-99.46577998326813,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.00510204081632653}",20,0,-45.27607363104268,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.0044444444444444444}",25,0,-89.87557315102066,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.00390625}",20,0,-70.45282131257764,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.0034602076124567475}",20,13,-9.3502129253542,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.0030864197530864196}",30,21,-79.2293103418762,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.002770083102493075}",25,0,-28.71704188238741,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.0025}",25,0,14.31497579744697,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.0022675736961451248}",25,13,9.088992003449238,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.002066115702479339}",25,0,-26.239891204408888,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.001890359168241966}",30,13,-15.824727633075174,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
24,False,"{'a': 0.5, 'e': 0.001736111111111111}",20,0,-19.628579233865867,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.0016}",20,11,-13.475873210400138,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.0014792899408284023}",25,0,-23.26358780350701,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
