trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-196.24134426566224,"{0: 4, 1: 6, 2: 7, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.25}",20,0,-194.03243806619543,"{0: 8, 1: 1, 2: 6, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.1111111111111111}",20,0,-41.313108512396994,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.0625}",20,0,23.945184906081884,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.04}",25,10,17.61240160103124,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.027777777777777776}",25,2,-92.3719838291518,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.02040816326530612}",35,0,-92.25172610690879,"{0: 31, 1: 1, 2: 0, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.015625}",20,0,-15.45583116207284,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.012345679012345678}",30,3,39.408350140794205,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.01}",30,6,40.4911819634146,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.008264462809917356}",20,0,14.8016977735312,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.006944444444444444}",20,9,11.003684105364016,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.005917159763313609}",20,16,9.134817937554814,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.00510204081632653}",20,3,17.799715852853723,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.0044444444444444444}",25,3,7.514693284792792,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.00390625}",30,14,-17.79430759893631,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.0034602076124567475}",20,0,25.99547123030299,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.0030864197530864196}",25,0,-57.085718735567006,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.002770083102493075}",35,22,18.341283316365228,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.0025}",35,0,44.25704711869131,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.0022675736961451248}",25,0,-43.575151246313766,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.002066115702479339}",30,7,12.003325991749524,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.001890359168241966}",30,18,18.042167289717415,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.001736111111111111}",25,0,-8.990734498463953,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.0016}",25,0,16.25899932750917,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.0014792899408284023}",20,0,15.228177992456343,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.0013717421124828531}",20,0,23.406899164420373,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
