trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-193.46231125988157,"{0: 11, 1: 4, 2: 6, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.25}",20,0,-55.88855437828952,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.1111111111111111}",25,0,-18.99200709830238,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.0625}",25,0,-128.86950472079172,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.04}",20,16,8.294446676041424,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.027777777777777776}",20,0,7.62123147008329,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.02040816326530612}",20,0,-63.1980228300883,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.015625}",25,1,-56.57672910258109,"{0: 19, 1: 2, 2: 0, 3: 2, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.012345679012345678}",25,5,28.898943545549773,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.01}",20,0,14.849885514857432,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
