trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-155.12271462691555,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.25}",25,0,-116.55400982325052,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.1111111111111111}",20,0,-77.4633788886125,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.0625}",25,0,-8.053798044021057,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.04}",25,0,-67.2079046563652,"{0: 18, 1: 2, 2: 2, 3: 3, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.027777777777777776}",35,0,-1.499776564703224,"{0: 31, 1: 2, 2: 1, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.02040816326530612}",20,0,-96.86628341300626,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.015625}",30,0,12.121207589832899,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.012345679012345678}",25,0,-20.40431273017388,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.01}",20,0,29.035595327110123,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.008264462809917356}",25,0,1.2225956993952727,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.006944444444444444}",25,11,-56.692885014492795,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.005917159763313609}",30,8,7.134457409582146,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
