trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.5}",20,0,-83.20656912741015,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.25}",25,5,-96.97883339394161,"{0: 14, 1: 3, 2: 0, 3: 1, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.125}",25,0,7.521273954632704,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.0625}",25,0,-28.337410617398174,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.03125}",25,0,-13.410381305502211,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.015625}",25,3,-18.27180461496403,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.0078125}",20,0,-62.66679394774116,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.00390625}",25,0,-47.840859483304,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.001953125}",20,8,17.962525786695053,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.0009765625}",30,15,29.87266746537177,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.00048828125}",25,0,-49.94607288937656,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.000244140625}",20,0,19.249364944527052,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.0001220703125}",25,14,19.808759976829585,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 6.103515625e-05}",20,12,15.417899146144027,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 3.0517578125e-05}",20,0,32.521235073367734,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.52587890625e-05}",25,13,8.495017625382225,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 7.62939453125e-06}",30,0,7.132174593696997,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 3.814697265625e-06}",25,0,-9.642728053653272,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.9073486328125e-06}",20,8,20.710535883287502,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 9.5367431640625e-07}",20,0,0.8641751043257117,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",30,16,23.541584970843395,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-31.498138842513363,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-10.807299314500407,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-42.81473994314376,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,14,11.707086411265715,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",30,9,27.54587409265036,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",30,0,-102.4014652641504,"{0: 24, 1: 0, 2: 3, 3: 1, 4: 2}",0
8,True,"{'a': 0.0, 'e': 0.0}",35,17,-17.28555265601217,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0.0, 'e': 0.0}",30,20,19.380891636300383,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",30,11,-10.700567864985942,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
