trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.02, 'e': 0.9998000066665778}",25,0,-130.08479739497736,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 3}",0
2,False,"{'a': 0.02, 'e': 0.9992001066609779}",30,22,-6.9168209227890305,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
3,False,"{'a': 0.02, 'e': 0.9982005399352042}",20,0,-86.68182117378285,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.02, 'e': 0.9968017063026194}",20,0,-150.97478039369153,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.02, 'e': 0.9950041652780257}",30,0,-153.56524592718975,"{0: 20, 1: 4, 2: 2, 3: 1, 4: 3}",0
6,False,"{'a': 0.02, 'e': 0.9928086358538663}",20,0,-70.887925071531,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.02, 'e': 0.9902159962126371}",20,0,-107.66150527552729,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
8,False,"{'a': 0.02, 'e': 0.9872272833756269}",25,0,-219.02911445887497,"{0: 12, 1: 4, 2: 5, 3: 0, 4: 4}",0
9,False,"{'a': 0.02, 'e': 0.9838436927881214}",30,0,-63.6544272490912,"{0: 20, 1: 4, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.02, 'e': 0.9800665778412416}",30,0,-126.94314882397656,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 3}",0
11,False,"{'a': 0.02, 'e': 0.9758974493306055}",20,0,-71.95525394410879,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.02, 'e': 0.9713379748520297}",20,0,-111.54598693339662,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.02, 'e': 0.9663899781345132}",20,0,-149.6952744021916,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
14,False,"{'a': 0.02, 'e': 0.9610554383107709}",25,0,-157.97861960815584,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
15,False,"{'a': 0.02, 'e': 0.955336489125606}",25,0,-104.09809351834446,"{0: 13, 1: 6, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.02, 'e': 0.9492354180824408}",20,0,-78.14991230317564,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.02, 'e': 0.9427546655283462}",25,0,-110.11568580635014,"{0: 13, 1: 2, 2: 8, 3: 2, 4: 0}",0
18,False,"{'a': 0.02, 'e': 0.9358968236779348}",20,0,-79.87818952522547,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
19,False,"{'a': 0.02, 'e': 0.9286646355765102}",25,0,-3.394722907596745,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.02, 'e': 0.9210609940028851}",20,0,-113.25768719647226,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
21,False,"{'a': 0.02, 'e': 0.9130889403123083}",25,0,-70.04255489676129,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
22,False,"{'a': 0.02, 'e': 0.9047516632199635}",25,8,-85.09956380853656,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 1}",1
23,False,"{'a': 0.02, 'e': 0.8960524975255253}",20,0,-74.75648205195708,"{0: 14, 1: 1, 2: 2, 3: 3, 4: 0}",0
24,False,"{'a': 0.02, 'e': 0.8869949227792842}",30,0,-112.27546130272087,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
25,False,"{'a': 0.02, 'e': 0.8775825618903728}",20,0,-50.90714663425426,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
26,False,"{'a': 0.02, 'e': 0.8678191796776499}",20,0,-31.850968129476655,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
27,False,"{'a': 0.02, 'e': 0.8577086813638242}",30,11,-104.10898923206659,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 2}",1
28,False,"{'a': 0.02, 'e': 0.8472551110134161}",20,0,-65.31396647121126,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
29,False,"{'a': 0.02, 'e': 0.8364626499151869}",20,0,-137.2022183735691,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
30,False,"{'a': 0.02, 'e': 0.8253356149096783}",35,0,-127.89210520661653,"{0: 22, 1: 7, 2: 3, 3: 2, 4: 1}",0
31,False,"{'a': 0.02, 'e': 0.8138784566625339}",25,3,-82.11778258084102,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 0}",1
32,False,"{'a': 0.02, 'e': 0.8020957578842927}",20,0,-48.482507348955764,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
