trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.995}",20,0,-130.82959390474852,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.9, 'e': 0.99}",30,0,-114.15606157758427,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.9, 'e': 0.985}",20,0,-114.18917025862895,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.9, 'e': 0.98}",20,0,-74.75574928313877,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.9, 'e': 0.975}",20,0,-85.79381971656291,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
6,False,"{'a': 0.9, 'e': 0.97}",25,0,-110.5870102332913,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.9, 'e': 0.965}",20,0,-35.30310697339887,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.9, 'e': 0.96}",30,0,-102.56043668295732,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
9,False,"{'a': 0.9, 'e': 0.955}",20,0,-148.45960638707803,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.9, 'e': 0.95}",20,0,-72.31351502118386,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.9, 'e': 0.945}",25,0,-148.6075459669273,"{0: 15, 1: 5, 2: 2, 3: 0, 4: 3}",0
12,False,"{'a': 0.9, 'e': 0.94}",20,11,18.170491546926165,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.9, 'e': 0.9349999999999999}",20,0,-133.58367068034113,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.9, 'e': 0.9299999999999999}",20,0,-65.90664397416096,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.9, 'e': 0.9249999999999999}",25,0,-134.13157742842478,"{0: 12, 1: 1, 2: 10, 3: 2, 4: 0}",0
16,False,"{'a': 0.9, 'e': 0.9199999999999999}",25,0,-124.29813494484416,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.9, 'e': 0.9149999999999999}",35,0,-203.80267363564684,"{0: 25, 1: 1, 2: 3, 3: 2, 4: 4}",0
18,False,"{'a': 0.9, 'e': 0.9099999999999999}",25,0,-103.5397352471224,"{0: 16, 1: 4, 2: 2, 3: 2, 4: 1}",0
19,False,"{'a': 0.9, 'e': 0.9049999999999999}",25,0,-41.23074098337642,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
