trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9998875021093592}",25,0,-52.911807932742086,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9995500337489875}",20,0,-145.2344469139803,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9989876708478425}",20,0,-200.80883414279046,"{0: 7, 1: 4, 2: 5, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9982005399352042}",30,0,-140.29619522105125,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9971888181122075}",25,12,-46.374632174611655,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.9959527330119943}",20,14,4.261599197661857,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.9944925627484974}",30,0,-155.13999097689464,"{0: 15, 1: 6, 2: 6, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9928086358538663}",30,0,-167.84653770652764,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9909013312045479}",25,0,-98.8216745824509,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9887710779360422}",25,0,-114.98652520235942,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9864183553463477}",20,0,-18.393334617891192,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9838436927881214}",20,5,-39.741515165826044,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.9810476695495772}",30,17,-79.81149197546385,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.9780309147241483}",25,0,-36.463280359492636,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9747941070689433}",20,0,-134.76371597011428,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9713379748520297}",30,0,-142.96641498402067,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9676632956885756}",25,0,-106.80050211861163,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9637708963658905}",20,10,-8.578325355836629,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.9596616526574011}",25,0,-143.9350504074802,"{0: 13, 1: 6, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.955336489125606}",20,0,-110.4032016068,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9507963789140532}",20,0,-137.04869579116436,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.946042343528387}",25,0,-142.1838259031745,"{0: 12, 1: 5, 2: 5, 3: 2, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.941075452606513}",25,0,-98.24407877096199,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9358968236779348}",20,0,-11.611262546094643,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.9305076219123143}",30,0,-116.21779243593234,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.9249090598573131}",25,0,-96.95412527635449,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.9191023971657748}",20,0,-140.32769284170118,"{0: 10, 1: 2, 2: 4, 3: 3, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.9130889403123083}",20,0,-77.52185663017171,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.9068700422993367}",30,0,-231.8112353676333,"{0: 14, 1: 3, 2: 9, 3: 1, 4: 3}",0
30,False,"{'a': 0.5, 'e': 0.900447102352677}",35,0,-190.92394105852705,"{0: 20, 1: 4, 2: 7, 3: 2, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.8938215656067205}",20,6,6.468395718925395,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.8869949227792842}",35,20,-36.342512051455635,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.8799687098362042}",20,0,-50.51785304312894,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.8727445076457513}",25,0,-104.1260478781411,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.8653239416229412}",20,0,-88.25628970138912,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.8577086813638242}",25,0,-91.06233603261146,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.8499004402698316}",30,0,-28.836272475746657,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.8419009751622688}",20,0,-154.88453306227098,"{0: 9, 1: 5, 2: 2, 3: 2, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.8337120858870376}",20,0,-101.88707981856442,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.8253356149096783}",25,0,-38.508726144798,"{0: 16, 1: 8, 2: 1, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.8167734469008229}",20,0,-8.654113567772873,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.8080275083121519}",30,0,-146.91943428753996,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.7990997669429512}",30,0,-141.07145492997518,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.7899922314973651}",20,15,2.918414582014898,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.7807069511324469}",20,0,-70.72427192569486,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.7712460149971067}",25,0,-141.30260668696548,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.7616115517620617}",30,16,-46.63833638469311,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.751805729140895}",20,0,-94.98896599985116,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.7418307534023283}",20,0,-49.44486316391475,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.7316888688738209}",25,0,-70.86569237824851,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.7213823574366063}",30,0,-139.48010899656722,"{0: 20, 1: 3, 2: 3, 3: 2, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.7109135380122773}",20,8,-64.68945286838864,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
53,False,"{'a': 0.5, 'e': 0.7002847660410398}",20,0,-73.44958633703972,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.6894984329517471}",25,10,-21.718780388486827,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.6785569656238399}",35,0,-162.016074763417,"{0: 24, 1: 2, 2: 6, 3: 0, 4: 3}",0
56,False,"{'a': 0.5, 'e': 0.6674628258413082}",30,0,-109.5992152842465,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.6562185097387998}",20,0,-125.19652411947793,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.6448265472400012}",20,0,-92.37949688237742,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.6332895014884152}",25,7,-50.69501678908703,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 1}",1
60,False,"{'a': 0.5, 'e': 0.6216099682706646}",20,5,-21.692464221554523,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.6097905754324503}",20,0,-176.07658977263367,"{0: 12, 1: 0, 2: 3, 3: 2, 4: 3}",0
62,False,"{'a': 0.5, 'e': 0.5978339822872983}",20,14,5.041398433073566,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.585742879018225}",25,15,18.996369526828488,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.5735199860724567}",20,0,-1.8445199366248133,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.5611680535493415}",30,12,-27.67697314340625,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.5486898605815876}",25,5,-78.68955730158034,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.536088214709971}",25,0,-9.117282255319513,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
