trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.498}",30,0,-122.05416588872706,"{0: 23, 1: 3, 2: 1, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.496}",25,0,-8.135388500081007,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.494}",20,0,-60.61103567385783,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.492}",20,0,-98.24322164146771,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.49}",20,0,-86.5864696907823,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.488}",25,0,-30.811982732325863,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.486}",25,0,-173.60786360000975,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.484}",20,0,-86.02143404215464,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.482}",20,0,-62.326276270904266,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.48}",30,0,-320.6752459543158,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 7}",0
11,False,"{'a': 0.5, 'e': 0.478}",25,0,-38.85065553019221,"{0: 20, 1: 2, 2: 1, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.476}",25,15,-34.722347810835274,"{0: 7, 1: 1, 2: 0, 3: 2, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.474}",30,0,-105.8051566745718,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.472}",20,11,-43.98064497743586,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.47}",20,0,-48.087410509888116,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.46799999999999997}",35,0,-120.54772114766624,"{0: 23, 1: 3, 2: 7, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.46599999999999997}",20,0,-1.0614240307710856,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.46399999999999997}",25,0,-92.06725238697861,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.462}",25,4,-5.191234706212191,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.46}",20,0,-64.23790222672808,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.458}",20,0,-55.64567527519549,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.456}",25,0,-15.18689603381442,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.454}",20,11,16.749798999293287,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.452}",20,12,-15.1873152422258,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.45}",25,0,-32.90539748147548,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.448}",20,13,1.8284616342877063,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.446}",25,14,-13.803267922214081,"{0: 7, 1: 3, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.444}",20,0,-38.669361080371566,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.442}",20,0,-32.36425468397843,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.44}",20,0,-1.0914486657656934,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.438}",20,4,-24.405573392966218,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.436}",25,15,-18.48927578199186,"{0: 7, 1: 2, 2: 0, 3: 1, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.434}",25,2,-35.234014588821346,"{0: 19, 1: 0, 2: 2, 3: 2, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.432}",20,7,13.167450653099266,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.43}",25,17,-7.049556104210871,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.428}",20,0,-20.06618508374984,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.426}",35,7,12.216446466907268,"{0: 24, 1: 4, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.424}",20,8,-28.46832319946125,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.422}",25,19,11.02250538012553,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.42}",30,13,-21.9184930044457,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.418}",30,8,-43.825737539837235,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 1}",1
42,False,"{'a': 0.5, 'e': 0.416}",25,7,13.229344173470903,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.414}",20,0,-11.375851975721746,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.41200000000000003}",25,0,-69.66422728107725,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.41000000000000003}",25,0,-34.43744994545233,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.40800000000000003}",20,3,-87.45326987165564,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 2}",1
47,False,"{'a': 0.5, 'e': 0.406}",20,12,9.404204792899185,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.404}",30,4,-59.65964379574123,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 1}",1
49,False,"{'a': 0.5, 'e': 0.402}",25,0,-45.898809713859755,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.4}",25,15,-85.485789398298,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 2}",1
51,False,"{'a': 0.5, 'e': 0.398}",25,16,-13.092532151016803,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.396}",25,18,13.785752474521084,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.394}",30,12,-77.30628862187743,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 1}",1
54,False,"{'a': 0.5, 'e': 0.392}",20,13,12.012698253532452,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.39}",30,6,22.579919971036276,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.388}",20,5,-36.917980380117385,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
57,False,"{'a': 0.5, 'e': 0.386}",20,12,18.29212661258297,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.384}",35,6,-48.32844388670019,"{0: 23, 1: 2, 2: 1, 3: 3, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.382}",20,8,11.052420370394984,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.38}",25,8,-3.989431085811238,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.378}",20,15,8.017222626480384,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.376}",30,0,17.934770879267596,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.374}",30,3,-77.78472026194567,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 2}",1
64,False,"{'a': 0.5, 'e': 0.372}",30,0,-8.845454501259566,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",1
