trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-141.351559059658,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.5743491774985175}",20,0,-131.04626831092136,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.4152436465385057}",20,0,-64.33567961164272,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.32987697769322355}",35,0,-241.08993663100983,"{0: 23, 1: 4, 2: 2, 3: 1, 4: 5}",0
5,False,"{'a': 0.5, 'e': 0.27594593229224296}",25,0,10.696451147991073,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.23849484685087588}",20,0,-15.556171014737588,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.2108247373706503}",25,0,-126.65606081110508,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.18946457081379975}",25,0,-8.198496805493543,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.1724272859905955}",20,0,8.627153703616308,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.15848931924611132}",20,0,-11.086873920986612,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.14685402420019797}",25,0,-44.93267794305796,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.13697931912643546}",30,13,32.65760731817658,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.12848289633344695}",25,0,-7.06130580553676,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.12108701450517395}",20,0,-61.89678632536614,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.11458479517249857}",20,0,26.365585288306423,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.10881882041201552}",25,0,27.0423532424746,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.10366707928425392}",20,0,-63.18191008868859,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09903346988700017}",20,0,-14.701508994400815,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.094841217227218}",25,0,-47.256386897044266,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.091028210151304}",20,12,12.603730254815543,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.08754363272631162}",20,6,-17.729574861886224,"{0: 11, 1: 2, 2: 0, 3: 1, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.0843454880117311}",25,0,-25.39104723170826,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.08139874915455901}",25,0,-73.37779988568347,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.07867395927457514}",30,0,22.91148068740619,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.07614615754863513}",20,0,17.390426303700327,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.07379404583174254}",25,0,25.610354633448832,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.07159933499747269}",25,0,-52.233833866788444,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
