trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 1.0}",30,0,-225.8288518032709,"{0: 16, 1: 5, 2: 4, 3: 1, 4: 4}",0
2,False,"{'a': 0.7, 'e': 0.25}",20,0,-137.1810574556524,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.7, 'e': 0.1111111111111111}",30,0,-47.00110561008134,"{0: 24, 1: 1, 2: 3, 3: 2, 4: 0}",0
4,False,"{'a': 0.7, 'e': 0.0625}",25,0,-12.708863720737666,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
5,False,"{'a': 0.7, 'e': 0.04}",35,0,-49.965572637934066,"{0: 32, 1: 0, 2: 0, 3: 2, 4: 1}",0
6,False,"{'a': 0.7, 'e': 0.027777777777777776}",25,9,22.91846334899526,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.7, 'e': 0.02040816326530612}",25,0,2.272302978363095,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.7, 'e': 0.015625}",20,16,7.3738190172319165,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.7, 'e': 0.012345679012345678}",20,0,-53.63278461607752,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
10,False,"{'a': 0.7, 'e': 0.01}",20,0,-17.555496884940194,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
11,False,"{'a': 0.7, 'e': 0.008264462809917356}",25,9,-41.82277751338126,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 1}",1
12,False,"{'a': 0.7, 'e': 0.006944444444444444}",20,0,-85.22248840522663,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.7, 'e': 0.005917159763313609}",25,0,-24.365661644974548,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.7, 'e': 0.00510204081632653}",25,0,28.650750395687,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.7, 'e': 0.0044444444444444444}",25,0,-106.28828384152058,"{0: 19, 1: 2, 2: 0, 3: 2, 4: 2}",0
16,False,"{'a': 0.7, 'e': 0.00390625}",20,8,16.600818635885105,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.7, 'e': 0.0034602076124567475}",25,0,-15.256565187914486,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.7, 'e': 0.0030864197530864196}",20,0,28.73742372920297,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.7, 'e': 0.002770083102493075}",20,0,29.09084445806921,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.7, 'e': 0.0025}",25,0,37.13050476654331,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.7, 'e': 0.0022675736961451248}",20,11,16.12951208729117,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.7, 'e': 0.002066115702479339}",30,0,-1.0269556507494124,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
23,False,"{'a': 0.7, 'e': 0.001890359168241966}",25,0,-7.915509889664279,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
24,False,"{'a': 0.7, 'e': 0.001736111111111111}",20,13,9.6164939120101,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.7, 'e': 0.0016}",20,2,27.329421473403105,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.7, 'e': 0.0014792899408284023}",20,16,7.281181788637328,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.7, 'e': 0.0013717421124828531}",20,7,25.55031787408276,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.7, 'e': 0.0012755102040816326}",20,0,30.613429263852183,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.7, 'e': 0.0011890606420927466}",20,0,15.648595762284458,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
30,False,"{'a': 0.7, 'e': 0.0011111111111111111}",30,0,37.64594370542787,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.7, 'e': 0.001040582726326743}",20,0,-11.383273324727563,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
32,False,"{'a': 0.7, 'e': 0.0009765625}",25,5,-13.27402741129142,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
33,False,"{'a': 0.7, 'e': 0.0009182736455463728}",25,0,24.990656434348303,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.7, 'e': 0.0008650519031141869}",35,0,50.8385297386757,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
35,False,"{'a': 0.7, 'e': 0.0008163265306122449}",20,2,31.596892700283274,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.7, 'e': 0.0007716049382716049}",25,0,41.341867891284586,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.7, 'e': 0.0007304601899196494}",25,11,13.676517537198308,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.7, 'e': 0.0006925207756232687}",30,0,-10.054700606394261,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
39,False,"{'a': 0.7, 'e': 0.0006574621959237344}",20,0,5.799057629213679,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
40,False,"{'a': 0.7, 'e': 0.000625}",20,11,17.730808401668774,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.7, 'e': 0.000594883997620464}",25,16,17.687658909638177,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.7, 'e': 0.0005668934240362812}",25,0,17.28725496551998,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
43,False,"{'a': 0.7, 'e': 0.0005408328826392645}",25,11,18.54911958124113,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
