trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.8}",20,0,-92.84901618144515,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.6705505632961242}",20,0,-163.55293856188345,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.6027415617602305}",20,0,-135.8967168393388,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.557858283255199}",20,0,-130.41412480949714,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.5247796636776956}",20,10,-37.814684346277815,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.4988271187715792}",20,0,-52.313008375702545,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.47761091340048084}",30,0,-67.51715996693939,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.4597539553864471}",25,0,-12.957713454267749,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.4443940149772542}",20,0,-1.4487078651845366,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.43095734448019324}",20,4,-9.602501731622219,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4190439206838455}",25,0,-9.063183028016816,"{0: 21, 1: 3, 2: 0, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.40836434189320575}",25,0,-2.943099706722154,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.3987028555414977}",25,0,-67.4317311403549,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.3898945623563899}",20,0,-88.49050795624888,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.381810759152688}",20,0,-65.20963393486312,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.37434917749851754}",30,4,-33.182832327412605,"{0: 20, 1: 2, 2: 3, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.36742728567158006}",20,16,7.97799590157889,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.36097757272309977}",25,3,-28.214468827791606,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.3549441528283543}",20,5,7.386057940576494,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.3492802716530589}",30,0,-60.73644365300924,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.3439464428888785}",20,0,-98.60251688718951,"{0: 12, 1: 4, 2: 1, 3: 2, 4: 1}",0
