trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.990025}",25,0,-153.13306943865882,"{0: 12, 1: 4, 2: 5, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-61.80625807257648,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.970225}",20,0,-126.85959906057688,"{0: 14, 1: 1, 2: 0, 3: 3, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9604}",30,0,-139.07780531838102,"{0: 23, 1: 1, 2: 2, 3: 1, 4: 3}",1
5,False,"{'a': 0.5, 'e': 0.950625}",25,0,-139.55211111347808,"{0: 11, 1: 7, 2: 4, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9409}",25,0,-154.3495256549176,"{0: 13, 1: 3, 2: 5, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.931225}",25,0,-250.4809555299573,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 5}",0
8,False,"{'a': 0.5, 'e': 0.9216}",30,1,-165.92211649492452,"{0: 19, 1: 0, 2: 7, 3: 0, 4: 3}",1
9,False,"{'a': 0.5, 'e': 0.912025}",25,0,-98.55668285358509,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9025}",25,0,-60.35899985067301,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.893025}",30,0,-79.21529395498106,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8836}",25,13,-68.68403784586177,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.874225}",20,0,-164.04264202809037,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.8649}",30,8,-125.39274133614806,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 3}",1
15,False,"{'a': 0.5, 'e': 0.855625}",20,7,-76.88358436108072,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.8464}",25,0,-100.5827775902203,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.837225}",25,0,-48.94680919249397,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.8281}",25,8,-17.436058022549975,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.819025}",20,0,-115.52774402975355,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.81}",25,8,-64.05256521236228,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 1}",1
21,False,"{'a': 0.5, 'e': 0.801025}",25,0,-161.22534191191073,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.7921}",35,5,-100.9700635069024,"{0: 19, 1: 1, 2: 8, 3: 2, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.783225}",20,0,-80.74397877371642,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.7744}",20,0,-18.221214889431934,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.765625}",25,0,-39.733680941343955,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.7569}",25,0,-51.096557118176456,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.748225}",20,0,-104.68992224844077,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.7396}",25,0,-74.22209603175875,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.731025}",20,7,-63.050265870721724,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.7225}",20,0,-116.41192321259793,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.714025}",25,2,-66.32623429753026,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 1}",1
32,False,"{'a': 0.5, 'e': 0.7056}",20,0,-20.23122187002126,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.697225}",20,0,-86.12442883677679,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.6889}",20,15,-5.246550182743663,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.680625}",20,0,1.7584544473202044,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.6724}",25,8,-47.75541422166444,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.664225}",20,5,-0.8210336256720849,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.6561}",20,0,-16.164323905391427,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.648025}",30,0,-153.70117912180697,"{0: 21, 1: 1, 2: 3, 3: 3, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.64}",30,0,-117.32310077683479,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
41,False,"{'a': 0.5, 'e': 0.632025}",20,10,-0.038674302886193335,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.6241}",30,0,-105.90938459539913,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.616225}",30,13,11.041494782627328,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.6084}",20,0,-67.50149054197703,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.600625}",25,0,-138.70265959403395,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",1
46,False,"{'a': 0.5, 'e': 0.5929}",20,3,1.7427320906971981,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.585225}",25,0,-133.06987341269294,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
48,False,"{'a': 0.5, 'e': 0.5776}",25,5,-129.38712439576608,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",1
49,False,"{'a': 0.5, 'e': 0.570025}",30,2,-1.4956090055687343,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.5625}",20,13,-1.1021556371797967,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.555025}",20,8,-5.5261066084122925,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.5476}",30,0,-110.65059553592098,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.540225}",20,3,0.544866906928082,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.5329}",25,19,13.516968340637836,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.525625}",30,3,-139.98524831640108,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 2}",1
56,False,"{'a': 0.5, 'e': 0.5184}",25,8,-13.653848408748255,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.511225}",20,10,13.309083629130495,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.5041}",25,16,-27.521604881680755,"{0: 5, 1: 2, 2: 1, 3: 1, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.497025}",30,9,-93.06676345005313,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 2}",1
60,False,"{'a': 0.5, 'e': 0.49}",25,9,-26.571023758359377,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
61,False,"{'a': 0.5, 'e': 0.483025}",20,12,-47.12930019216439,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.4761}",25,8,3.3132811471916632,"{0: 13, 1: 4, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.469225}",20,0,-64.3745974921971,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.4624}",25,2,-30.461516979585443,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.455625}",20,10,-82.97178878782462,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 2}",1
66,False,"{'a': 0.5, 'e': 0.4489}",20,10,-44.23211849471152,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.442225}",30,10,-56.99282708540041,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
68,False,"{'a': 0.5, 'e': 0.4356}",25,6,-0.5278184779237944,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.429025}",20,11,3.2191743422916907,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.4225}",30,16,0.38791841366010504,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.416025}",20,0,-74.25056043100179,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
72,False,"{'a': 0.5, 'e': 0.4096}",25,0,-31.910172067246272,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.403225}",20,8,-14.26288171703203,"{0: 9, 1: 2, 2: 0, 3: 1, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.3969}",30,20,13.043004537545606,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.390625}",20,0,8.519550526179726,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.3844}",30,8,-163.0462016229762,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 4}",1
77,False,"{'a': 0.5, 'e': 0.378225}",20,0,-22.10728766502268,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.3721}",20,0,-140.10051432098211,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
79,False,"{'a': 0.5, 'e': 0.366025}",20,13,-1.6345660463339096,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.36}",25,17,16.32022267722328,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.354025}",25,15,-5.255670137515882,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.3481}",30,16,-16.841441363090844,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
83,False,"{'a': 0.5, 'e': 0.342225}",20,15,4.783900934652537,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.3364}",30,4,17.717810979709377,"{0: 25, 1: 0, 2: 0, 3: 1, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.330625}",20,0,7.765274375015381,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.3249}",20,3,20.59683562486184,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.319225}",25,2,-40.17151515375666,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 1}",1
88,False,"{'a': 0.5, 'e': 0.3136}",20,13,3.0869517711192778,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.308025}",25,17,3.1533842908972214,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.3025}",30,24,10.083670852177065,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.297025}",20,14,7.093759281903326,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.2916}",20,3,-52.41160343146973,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 1}",1
93,False,"{'a': 0.5, 'e': 0.286225}",25,2,-29.074933678377906,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 1}",1
94,False,"{'a': 0.5, 'e': 0.2809}",25,6,-33.22334795375655,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
95,False,"{'a': 0.5, 'e': 0.275625}",20,5,11.728437121797256,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.2704}",20,10,2.903252586154938,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.265225}",25,5,-50.11901438697984,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
98,False,"{'a': 0.5, 'e': 0.2601}",20,0,30.679425362119336,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
