trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,-100,-754.3536496127815,"{0: 67, 1: 15, 2: 28, 3: 5, 4: 10}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,-98,-604.0879741667397,"{0: 66, 1: 16, 2: 24, 3: 5, 4: 7}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,2,-52.65677379191921,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,-100,-570.577144154479,"{0: 72, 1: 14, 2: 24, 3: 2, 4: 8}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,-10,2.1894765513638683,"{0: 24, 1: 4, 2: 2, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,-100,-325.29575951005296,"{0: 80, 1: 13, 2: 22, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,1,-48.63511323882059,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,-100,-513.8413022436481,"{0: 65, 1: 22, 2: 24, 3: 5, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,-100,-747.7847599966439,"{0: 71, 1: 17, 2: 18, 3: 9, 4: 10}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,-76,-549.1810377219964,"{0: 57, 1: 10, 2: 16, 3: 5, 4: 8}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,4,-82.29011079055664,"{0: 9, 1: 1, 2: 4, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,12,-0.35771619813052125,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,-16,-201.90110402337217,"{0: 20, 1: 5, 2: 6, 3: 3, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,-100,-638.3068725116257,"{0: 64, 1: 21, 2: 23, 3: 4, 4: 8}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,-40,-288.87512819192114,"{0: 40, 1: 5, 2: 16, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,-100,-736.9781012635272,"{0: 75, 1: 10, 2: 23, 3: 6, 4: 11}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,-100,-793.9953846688037,"{0: 74, 1: 12, 2: 26, 3: 7, 4: 11}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,-100,-654.0374856421356,"{0: 73, 1: 15, 2: 18, 3: 3, 4: 11}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,-44,-360.0295724400802,"{0: 40, 1: 6, 2: 16, 3: 3, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,-100,-627.0115032209479,"{0: 66, 1: 19, 2: 29, 3: 5, 4: 6}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,-71,-447.8446673940747,"{0: 53, 1: 10, 2: 20, 3: 2, 4: 6}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,-100,-613.6090639793238,"{0: 64, 1: 19, 2: 24, 3: 8, 4: 5}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,-27,-185.9130885151354,"{0: 34, 1: 3, 2: 6, 3: 0, 4: 4}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,-5,-102.80120259732232,"{0: 15, 1: 5, 2: 2, 3: 2, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,-50,-254.65469177058011,"{0: 44, 1: 10, 2: 12, 3: 1, 4: 3}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,-100,-797.6841792706284,"{0: 63, 1: 15, 2: 23, 3: 9, 4: 10}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,-100,-509.9149452635876,"{0: 69, 1: 18, 2: 22, 3: 7, 4: 4}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,-46,-317.96954814552066,"{0: 41, 1: 9, 2: 13, 3: 6, 4: 2}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,-100,-637.1392624842717,"{0: 72, 1: 10, 2: 23, 3: 8, 4: 7}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,8,-94.33058605326497,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 2}",1
