trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,-9,-330.184342550589,"{0: 14, 1: 7, 2: 12, 3: 2, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,15,2.1923788769388732,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,-59,-396.005261688719,"{0: 45, 1: 14, 2: 13, 3: 1, 4: 6}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,-27,-304.02345862523293,"{0: 33, 1: 4, 2: 9, 3: 0, 4: 6}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,-41,-499.17729712075817,"{0: 38, 1: 12, 2: 17, 3: 2, 4: 7}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,-44,-259.33954636094114,"{0: 47, 1: 8, 2: 8, 3: 2, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,-45,-304.6996927048733,"{0: 43, 1: 6, 2: 14, 3: 4, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,-85,-492.1783741575385,"{0: 65, 1: 13, 2: 29, 3: 4, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,-100,-510.5918282317277,"{0: 67, 1: 21, 2: 25, 3: 2, 4: 5}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,-65,-428.5608575662685,"{0: 59, 1: 6, 2: 16, 3: 2, 4: 7}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,9,-51.18097011070097,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,-100,-815.1084758018067,"{0: 64, 1: 10, 2: 29, 3: 6, 4: 11}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,-100,-521.3408674073546,"{0: 75, 1: 13, 2: 21, 3: 4, 4: 7}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,-68,-624.4734100239782,"{0: 51, 1: 19, 2: 15, 3: 3, 4: 10}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,-6,-151.83383910733073,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,-53,-603.4903368525136,"{0: 42, 1: 13, 2: 16, 3: 2, 4: 10}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,-100,-879.6403175218528,"{0: 71, 1: 14, 2: 23, 3: 10, 4: 12}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,-100,-521.815801515549,"{0: 73, 1: 18, 2: 30, 3: 6, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,-96,-403.6256327872362,"{0: 75, 1: 14, 2: 20, 3: 2, 4: 5}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,-37,-333.5381196107361,"{0: 36, 1: 9, 2: 8, 3: 5, 4: 4}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,-99,-582.486486105128,"{0: 76, 1: 10, 2: 19, 3: 5, 4: 9}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,-100,-824.6535512590875,"{0: 56, 1: 25, 2: 23, 3: 5, 4: 11}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,-100,-922.4484733542421,"{0: 61, 1: 11, 2: 29, 3: 5, 4: 14}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,-14,-153.3866012343644,"{0: 24, 1: 3, 2: 2, 3: 2, 4: 3}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,-8,-24.505227272526906,"{0: 25, 1: 3, 2: 5, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,-38,-320.091184018815,"{0: 39, 1: 6, 2: 11, 3: 2, 4: 5}",0
7,True,"{'a': 0.0, 'e': 0.0}",30,-36,-327.95126550657324,"{0: 45, 1: 4, 2: 8, 3: 4, 4: 5}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,-77,-389.8855550587482,"{0: 64, 1: 7, 2: 19, 3: 2, 4: 5}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,-11,-162.15137593151078,"{0: 19, 1: 8, 2: 5, 3: 3, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,-100,-503.0235401057817,"{0: 78, 1: 16, 2: 19, 3: 7, 4: 5}",0
