trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-140.41938514446113,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-103.36202354227223,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,9,-73.22584780685166,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-194.4671381031191,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-84.36387860783708,"{0: 19, 1: 5, 2: 4, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.37518781684457,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-155.3170275608736,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.49575136016998,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-32.75288788603365,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.24994230438458,"{0: 8, 1: 4, 2: 5, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-176.6624015417309,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.92537659590187,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-68.44659968852272,"{0: 14, 1: 6, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-72.90397816821275,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,9,-6.412331771317933,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-202.61583738381358,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.90341877334583,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-183.13438503570666,"{0: 5, 1: 3, 2: 10, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-88.86082923718084,"{0: 14, 1: 7, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-247.4093702450945,"{0: 13, 1: 4, 2: 8, 3: 2, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-213.17906205535488,"{0: 19, 1: 5, 2: 7, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-194.87646722033375,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-129.93328498950493,"{0: 13, 1: 5, 2: 4, 3: 2, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-58.32890272696074,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",35,0,-67.2770038399554,"{0: 22, 1: 7, 2: 6, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-159.72066879323555,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-248.76381537735296,"{0: 10, 1: 4, 2: 6, 3: 1, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",35,0,-234.35821330747902,"{0: 15, 1: 5, 2: 12, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-118.50711266558807,"{0: 9, 1: 2, 2: 6, 3: 3, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-103.53244443360545,"{0: 8, 1: 3, 2: 8, 3: 1, 4: 0}",0
