trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.990025}",35,17,-77.45029547995122,"{0: 12, 1: 4, 2: 0, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.9801}",25,0,-124.28645094763196,"{0: 11, 1: 8, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.970225}",20,0,-62.02085840795766,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9604}",20,0,-135.07180457861492,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.950625}",20,0,-93.59631279581747,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9409}",20,0,-65.47709098713317,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.931225}",20,10,15.054514224857188,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.9216}",20,0,-85.74945513618498,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.912025}",20,0,-93.54532664132292,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9025}",25,0,-41.40119121997711,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.893025}",30,0,-79.10227010359795,"{0: 19, 1: 4, 2: 6, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8836}",30,0,-106.73162134079028,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.874225}",25,0,-24.74449036999433,"{0: 19, 1: 4, 2: 1, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8649}",20,0,-33.30301717857397,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.855625}",30,8,-70.42541688717614,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.8464}",30,0,-140.04908317350046,"{0: 16, 1: 5, 2: 7, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.837225}",25,0,-100.16144203796958,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8281}",20,0,-70.15666604007232,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.819025}",25,15,-26.148125144539804,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.81}",20,0,-57.012841908612884,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.801025}",25,0,-64.29412862704388,"{0: 13, 1: 7, 2: 5, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.7921}",30,0,-153.16143235170384,"{0: 20, 1: 4, 2: 2, 3: 1, 4: 3}",0
23,False,"{'a': 0.5, 'e': 0.783225}",20,6,22.266323723657568,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.7744}",25,0,-160.61732651942873,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.765625}",20,0,-109.22225529325877,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.7569}",20,1,-34.04535771657482,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
27,False,"{'a': 0.5, 'e': 0.748225}",30,19,-62.108410359785125,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
28,False,"{'a': 0.5, 'e': 0.7396}",20,0,-111.47665220818797,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.731025}",30,0,-68.7971453412411,"{0: 22, 1: 1, 2: 5, 3: 2, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.7225}",25,14,-66.67032422881735,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.714025}",20,0,-42.657047820232975,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.7056}",20,6,-14.361722459986805,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.697225}",20,2,-58.3973975100628,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
34,False,"{'a': 0.5, 'e': 0.6889}",20,6,-81.31737764526099,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 2}",1
35,False,"{'a': 0.5, 'e': 0.680625}",20,0,-149.79300015558164,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.6724}",20,0,-134.40475608342157,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.664225}",20,0,-171.10076551387934,"{0: 11, 1: 1, 2: 3, 3: 3, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.6561}",25,13,-40.525306601402576,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
39,False,"{'a': 0.5, 'e': 0.648025}",20,0,-47.53286261667144,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.64}",20,0,-117.79895871815398,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
41,False,"{'a': 0.5, 'e': 0.632025}",20,13,-39.86443483913703,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
42,False,"{'a': 0.5, 'e': 0.6241}",30,0,15.449435106168146,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.616225}",20,8,-52.07140647348128,"{0: 6, 1: 1, 2: 4, 3: 1, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.6084}",25,0,-36.145326203587544,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.600625}",25,12,-55.0923158808995,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.5929}",30,0,-83.64944242846926,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.585225}",25,13,17.30654027520886,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.5776}",25,11,-22.418739232657362,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.570025}",30,0,-63.115490579053386,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.5625}",30,0,-131.27447905962018,"{0: 19, 1: 5, 2: 3, 3: 1, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.555025}",20,13,-1.0313240461394433,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.5476}",25,0,11.02256133198842,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.540225}",25,11,-20.864497182034338,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.5329}",20,6,-81.99671374971146,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 1}",1
55,False,"{'a': 0.5, 'e': 0.525625}",30,0,-61.387215144819855,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.5184}",20,0,-11.73738647140959,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.511225}",20,0,-43.786210248153616,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.5041}",25,7,-71.87085939008433,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 2}",1
59,False,"{'a': 0.5, 'e': 0.497025}",25,18,9.364158856812425,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.49}",20,7,8.60715786659234,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.483025}",20,0,-7.697277068858027,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.4761}",25,8,-108.81326510246996,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 3}",1
63,False,"{'a': 0.5, 'e': 0.469225}",25,17,-19.48660679560469,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.4624}",25,17,-9.525119020946425,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.455625}",25,14,-5.356338123347924,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.4489}",25,12,-14.057887567041032,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.442225}",25,17,16.460353150956113,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.4356}",20,8,18.77152218555739,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.429025}",25,11,-1.5464968813005904,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.4225}",30,11,-39.680229371151434,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 1}",1
71,False,"{'a': 0.5, 'e': 0.416025}",20,13,11.148397055958526,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.4096}",25,4,-58.08013979256894,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.403225}",25,8,-1.2870519653185393,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.3969}",20,7,-39.49160381142893,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
75,False,"{'a': 0.5, 'e': 0.390625}",25,14,0.37023431001190366,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.3844}",25,15,-26.734869831962712,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.378225}",20,0,-30.55575770101057,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.3721}",25,12,-73.80272625912505,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 2}",1
79,False,"{'a': 0.5, 'e': 0.366025}",25,17,13.890170034915517,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.36}",30,13,-1.499910692009632,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.354025}",20,11,13.615707384295538,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.3481}",20,12,1.6202733060556067,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.342225}",30,16,3.840712539309678,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.3364}",25,3,-67.7396679326377,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 1}",1
85,False,"{'a': 0.5, 'e': 0.330625}",30,19,-3.9040963962062336,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.3249}",30,4,-85.34956880848075,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 2}",1
87,False,"{'a': 0.5, 'e': 0.319225}",20,0,-19.747920157097045,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.3136}",30,6,28.07999627883046,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.308025}",30,9,-0.3951322059044622,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.3025}",30,11,19.75058418990484,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.297025}",30,22,4.009256126266451,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.2916}",20,8,3.6854809447733397,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.286225}",20,12,14.131035392865751,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.2809}",30,14,-0.27665389614914293,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.275625}",25,5,25.340052914254812,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.2704}",25,12,14.875983699349549,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.265225}",25,19,11.332900621934408,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.2601}",25,11,3.2255055282642884,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.255025}",20,0,-0.8095207516325977,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.25}",20,0,-26.938047393361337,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.245025}",35,16,29.840544618974732,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.2401}",20,11,18.243518906537552,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.235225}",20,12,11.843609502570803,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.2304}",25,14,-13.802502586669736,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.225625}",25,10,-19.774936654665307,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
106,False,"{'a': 0.5, 'e': 0.2209}",30,18,-4.163228570360566,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.216225}",20,0,-11.887287356941798,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
108,False,"{'a': 0.5, 'e': 0.2116}",20,15,9.508003653261838,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.207025}",30,3,31.9116856850018,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.2025}",25,7,28.404644014956613,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.198025}",20,7,9.28848108545624,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.1936}",30,16,25.782056818866874,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.189225}",30,13,-2.425491663518559,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.1849}",30,17,4.113081047814474,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.180625}",20,5,-34.94587342495563,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
116,False,"{'a': 0.5, 'e': 0.1764}",25,12,-17.9108979177513,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
117,False,"{'a': 0.5, 'e': 0.172225}",20,10,13.260412532957762,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.1681}",25,17,16.312691985178684,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.164025}",20,7,-19.988128680631622,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
120,False,"{'a': 0.5, 'e': 0.16}",30,14,20.558662828874983,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.156025}",25,14,-0.8844784675229391,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.1521}",30,22,15.009224265744685,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.148225}",35,27,14.409656294748007,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.1444}",25,11,25.20745198285215,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.140625}",30,22,11.657848080589952,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.1369}",25,15,5.921833646322819,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.133225}",20,10,20.60891729001833,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.1296}",20,10,17.819867493229655,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.126025}",30,16,1.2111969834099083,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.1225}",25,14,-21.94449414887446,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
131,False,"{'a': 0.5, 'e': 0.119025}",35,17,-12.213899913464694,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.1156}",20,11,16.136008428512305,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.112225}",20,14,8.53678569779723,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.1089}",30,6,18.73619914867828,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.105625}",35,0,38.788548935581446,"{0: 33, 1: 1, 2: 1, 3: 0, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.1024}",30,17,3.5195275720440615,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.099225}",20,16,5.1556004811036145,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.0961}",20,5,-0.6299126376255246,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.093025}",20,12,11.041590337353506,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.09}",30,15,25.596983595158008,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.087025}",20,8,7.667553369919001,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.0841}",35,18,29.345519734717065,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.081225}",25,6,29.400130979108187,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.0784}",20,12,-6.429326642620743,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.075625}",20,7,24.72467639286968,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.0729}",25,10,24.276249940317566,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.070225}",20,13,14.623662872963784,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.0676}",25,19,13.101521648580546,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.065025}",30,3,36.127471383213624,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.0625}",20,0,31.174648083730617,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.060025}",20,14,3.843562394778668,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.0576}",20,7,-15.631622122789086,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
153,False,"{'a': 0.5, 'e': 0.055225}",20,7,25.727017091350284,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.0529}",25,13,-16.789452129325156,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
155,False,"{'a': 0.5, 'e': 0.050625}",30,9,17.083418881541228,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.0484}",25,8,31.352485474083927,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.046225}",25,11,24.44769464796606,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.0441}",20,9,-32.81744353940924,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
