trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.9987502603949663}",30,17,-30.804484265535947,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 0}",1
2,False,"{'a': 0.05, 'e': 0.9950041652780257}",25,0,-140.28005742138072,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.05, 'e': 0.9887710779360422}",25,0,-127.17640835972007,"{0: 12, 1: 6, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.05, 'e': 0.9800665778412416}",20,0,-106.06314407610617,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.05, 'e': 0.9689124217106447}",20,0,-82.54116641112161,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.05, 'e': 0.955336489125606}",30,0,-142.22743586837652,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.05, 'e': 0.9393727128473789}",20,8,-41.77172844848013,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
8,False,"{'a': 0.05, 'e': 0.9210609940028851}",20,0,-71.69879332378214,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
9,False,"{'a': 0.05, 'e': 0.9004471023526769}",20,0,-114.97247235509852,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.05, 'e': 0.8775825618903728}",30,0,-271.04347014174346,"{0: 15, 1: 0, 2: 9, 3: 2, 4: 4}",0
11,False,"{'a': 0.05, 'e': 0.8525245220595057}",20,0,-124.91224919303735,"{0: 12, 1: 5, 2: 0, 3: 0, 4: 3}",0
12,False,"{'a': 0.05, 'e': 0.8253356149096782}",20,0,-118.88816778015347,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
13,False,"{'a': 0.05, 'e': 0.7960837985490559}",20,0,-124.57320823754118,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.05, 'e': 0.7648421872844884}",25,0,-132.35057105177168,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
15,False,"{'a': 0.05, 'e': 0.7316888688738209}",30,0,-165.91693338314855,"{0: 17, 1: 2, 2: 7, 3: 3, 4: 1}",0
16,False,"{'a': 0.05, 'e': 0.6967067093471655}",20,0,-51.54399270496391,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
17,False,"{'a': 0.05, 'e': 0.6599831458849822}",25,0,-97.77447723542389,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
