trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",20,0,-42.47495083163216,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.99}",20,0,-85.88051559994906,"{0: 11, 1: 4, 2: 2, 3: 3, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.985}",20,0,-65.15009245360605,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.98}",30,0,-116.41662004452155,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.975}",20,0,-83.39576691852122,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.97}",20,0,-93.50967845174152,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.965}",30,0,-213.37083244338947,"{0: 16, 1: 3, 2: 6, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.96}",35,0,-149.22413250850516,"{0: 21, 1: 4, 2: 7, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.955}",20,0,-44.218847858459654,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.95}",30,0,-206.6112799098361,"{0: 16, 1: 3, 2: 7, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.945}",25,0,-97.13464614303886,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.94}",20,0,-122.99049713155152,"{0: 11, 1: 5, 2: 1, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",20,0,-134.94144956672096,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",25,13,-27.197502530334987,"{0: 6, 1: 4, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",20,0,-127.8416093676449,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",25,0,-162.67117285791159,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",20,0,-120.34477460295396,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,0,-226.11685463682022,"{0: 11, 1: 5, 2: 5, 3: 0, 4: 4}",0
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",20,0,-100.08329144555839,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-57.69981778565762,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8949999999999999}",30,8,-88.25299347096751,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,0,-100.31798247930784,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
