trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.5}",25,11,-90.06281099774323,"{0: 9, 1: 0, 2: 2, 3: 2, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.25}",20,0,-14.87924244207656,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.125}",30,20,-46.78191286234204,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.0625}",25,0,-61.20526789487273,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.03125}",25,0,-79.97997473289247,"{0: 19, 1: 4, 2: 0, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.015625}",30,0,-43.94143229953306,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.0078125}",20,0,7.2336055513258435,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.00390625}",25,0,20.506591080524725,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.001953125}",25,0,12.458998080458656,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.0009765625}",25,0,-2.9058461313477872,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.00048828125}",20,0,12.02697940998501,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.000244140625}",30,2,-3.9727744549992137,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.0001220703125}",25,0,32.088626320592844,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 6.103515625e-05}",20,6,-30.632972675370667,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 3.0517578125e-05}",20,0,14.56818206443998,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.52587890625e-05}",20,0,22.588684622042592,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 7.62939453125e-06}",20,0,25.798071363901872,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 3.814697265625e-06}",25,0,35.02690181720449,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.9073486328125e-06}",20,7,5.648306231700532,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 9.5367431640625e-07}",25,12,17.79696896908065,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,0,24.133219035405453,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,8,27.729556447535,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,2,25.688233628089414,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,0,19.773549083770863,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,19,-5.326490669176045,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,12,15.11168831516338,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,1,30.853758829397798,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-35.11191903402568,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",30,0,35.33785222591089,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,25.80636555129586,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
