trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 10}",30,2,-120.16530302794187,"{0: 20, 1: 1, 2: 4, 3: 1, 4: 2}",1
2,False,"{'a': 0.7, 'e': 2}",20,0,-85.81488752478643,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.7, 'e': 1}",25,0,-123.0779861646712,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.7, 'e': 0}",20,0,-28.122786528477025,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
5,False,"{'a': 0.7, 'e': 0}",25,0,3.6290380446204145,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
6,False,"{'a': 0.7, 'e': 0}",20,4,-8.151897000106533,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
7,False,"{'a': 0.7, 'e': 0}",20,0,-48.87132890446916,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
8,False,"{'a': 0.7, 'e': 0}",25,0,-24.18117428340617,"{0: 21, 1: 2, 2: 0, 3: 2, 4: 0}",0
9,False,"{'a': 0.7, 'e': 0}",20,8,-12.81382234044466,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
10,False,"{'a': 0.7, 'e': 0}",35,15,-88.33705995345025,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",1
11,False,"{'a': 0.7, 'e': 0}",35,2,22.719104691619975,"{0: 32, 1: 0, 2: 0, 3: 1, 4: 0}",1
12,False,"{'a': 0.7, 'e': 0}",25,0,15.000378779216227,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
13,False,"{'a': 0.7, 'e': 0}",20,0,10.95327183336267,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
14,False,"{'a': 0.7, 'e': 0}",30,0,39.78754743365559,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.7, 'e': 0}",35,0,12.638346924227104,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
16,False,"{'a': 0.7, 'e': 0}",25,9,-13.522478588122764,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
17,False,"{'a': 0.7, 'e': 0}",20,0,31.414896003630577,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.7, 'e': 0}",20,12,9.365708376479875,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.7, 'e': 0}",25,0,10.571488121990798,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
20,False,"{'a': 0.7, 'e': 0}",20,11,14.367355542543077,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,0,35.108140542838825,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,3,31.30740042627096,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,0,35.20690908926808,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-60.94507238614373,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,8,-3.3540780116670685,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-9.9558235900328,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",30,0,-3.7439682310395783,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,12,20.716462744160303,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,9,19.525151487373325,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,11,12.32617710106478,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
