trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.95, 'e': 0.95}",25,0,-85.0031373147162,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.95, 'e': 0.9025}",20,0,-81.96883336734325,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.95, 'e': 0.8573749999999999}",25,0,-221.46204507990495,"{0: 11, 1: 2, 2: 7, 3: 2, 4: 3}",0
4,False,"{'a': 0.95, 'e': 0.8145062499999999}",25,4,-47.268645287596705,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 0}",1
5,False,"{'a': 0.95, 'e': 0.7737809374999998}",25,0,-217.03130032400134,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 4}",0
6,False,"{'a': 0.95, 'e': 0.7350918906249998}",20,7,-3.0835261359020043,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.95, 'e': 0.6983372960937497}",30,0,-111.89584853117219,"{0: 21, 1: 4, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.95, 'e': 0.6634204312890623}",25,0,-36.40557913648448,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.95, 'e': 0.6302494097246091}",30,0,-62.86269284504985,"{0: 25, 1: 1, 2: 1, 3: 2, 4: 1}",0
10,False,"{'a': 0.95, 'e': 0.5987369392383787}",20,0,-31.001885403348226,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.95, 'e': 0.5688000922764597}",30,0,-28.81004115346662,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.95, 'e': 0.5403600876626367}",20,0,-86.99890072976277,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
13,False,"{'a': 0.95, 'e': 0.5133420832795048}",20,4,-41.04462699347344,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 0}",1
14,False,"{'a': 0.95, 'e': 0.48767497911552954}",30,8,-59.674082607883655,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 1}",1
15,False,"{'a': 0.95, 'e': 0.46329123015975304}",20,5,-27.23339328167572,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.95, 'e': 0.44012666865176536}",20,0,-42.32646741593352,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
17,False,"{'a': 0.95, 'e': 0.4181203352191771}",20,4,-39.901841947442094,"{0: 12, 1: 3, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.95, 'e': 0.3972143184582182}",30,0,-79.06091507410446,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.95, 'e': 0.37735360253530725}",20,9,5.7599085993313635,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.95, 'e': 0.3584859224085419}",20,0,-114.5564207314004,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
