trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",30,13,-161.2841126356023,"{0: 7, 1: 4, 2: 3, 3: 0, 4: 3}",1
2,False,"{'a': 0.5, 'e': 0.99}",25,0,-194.3583858487784,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.985}",20,0,-96.55148069843688,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.98}",20,0,-141.33286884759465,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.975}",20,0,-172.30117234209376,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.97}",25,0,-113.50128161232978,"{0: 13, 1: 3, 2: 7, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.965}",30,0,-179.62524362050561,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.96}",25,0,-76.89061166079517,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.955}",20,0,-123.69728582777032,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.95}",30,0,-118.67186665446903,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.945}",35,0,-148.10638172744848,"{0: 21, 1: 2, 2: 10, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.94}",20,0,-120.6034871585969,"{0: 9, 1: 5, 2: 3, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",30,0,-132.8736090104264,"{0: 16, 1: 6, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-74.27729732883533,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",30,0,-103.585247903106,"{0: 19, 1: 5, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",30,0,-56.96415984833627,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",20,0,-52.2492880357523,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",35,0,-200.382251405369,"{0: 20, 1: 5, 2: 6, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",20,0,-119.94418967446636,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-123.39095997626507,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8949999999999999}",30,0,-129.45252443544166,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8899999999999999}",25,1,-69.66230214216057,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.8849999999999999}",20,0,-101.59326845995894,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,0,-81.52827893720026,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.8749999999999999}",25,0,-90.66312024540493,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.8699999999999999}",25,0,-117.78782644027422,"{0: 13, 1: 2, 2: 7, 3: 3, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.8649999999999999}",25,0,-56.36689220952796,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.8599999999999999}",20,0,-56.11582889422405,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.8549999999999999}",25,0,-78.8373685626037,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-168.5130109684254,"{0: 15, 1: 4, 2: 9, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.8449999999999999}",20,0,-55.59540756600644,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.8399999999999999}",25,0,-92.59413723955778,"{0: 13, 1: 3, 2: 9, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.8349999999999999}",30,10,-59.8466190748917,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",1
34,False,"{'a': 0.5, 'e': 0.8299999999999998}",20,0,-191.8396554747182,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
35,False,"{'a': 0.5, 'e': 0.8249999999999998}",25,0,-112.2346247293061,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,0,-162.74083069916114,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
37,False,"{'a': 0.5, 'e': 0.8149999999999998}",20,0,-65.94842778509354,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.8099999999999998}",20,0,-82.1711191841222,"{0: 12, 1: 3, 2: 2, 3: 3, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.8049999999999998}",20,0,-122.35144582589098,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.7999999999999998}",35,0,-55.44006843725558,"{0: 28, 1: 3, 2: 2, 3: 1, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.7949999999999998}",20,0,-50.17060589250271,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.7899999999999998}",30,15,-79.7785787550449,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 1}",1
43,False,"{'a': 0.5, 'e': 0.7849999999999998}",20,0,5.660290060646772,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.7799999999999998}",20,0,-83.67190903970071,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.7749999999999998}",25,1,-72.52053764672542,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.7699999999999998}",20,0,-121.76797683957524,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
47,False,"{'a': 0.5, 'e': 0.7649999999999998}",30,17,-26.479609155192286,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.7599999999999998}",20,0,-49.52750285009827,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.7549999999999998}",25,0,-187.1292838252557,"{0: 15, 1: 3, 2: 1, 3: 3, 4: 3}",0
50,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-89.75456090453808,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.7449999999999998}",25,0,-124.72795639292637,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.7399999999999998}",30,3,-148.57330071182062,"{0: 19, 1: 0, 2: 3, 3: 3, 4: 2}",1
53,False,"{'a': 0.5, 'e': 0.7349999999999998}",20,0,-64.21620791926236,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.7299999999999998}",20,15,1.8896734326497573,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.7249999999999998}",30,0,-46.43831960278,"{0: 21, 1: 3, 2: 6, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.7199999999999998}",25,0,-69.10518835561606,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.7149999999999997}",25,0,-82.70791702908438,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.7099999999999997}",20,4,-43.0059300933491,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.7049999999999997}",25,16,4.938943884026303,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.6999999999999997}",35,0,-83.98554402299767,"{0: 25, 1: 3, 2: 6, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.6949999999999997}",20,3,-33.00568874314694,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.6899999999999997}",30,0,-47.4462523792134,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.6849999999999997}",20,0,-28.36829782548164,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.6799999999999997}",30,18,-5.085953677962173,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.6749999999999997}",20,10,-39.96359820948841,"{0: 5, 1: 1, 2: 4, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.6699999999999997}",20,13,-1.8596486643502477,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.6649999999999997}",25,0,-68.27347435451944,"{0: 19, 1: 1, 2: 1, 3: 4, 4: 0}",0
