trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.2}",25,0,-83.71514127752214,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.2}",25,0,-109.86158102549518,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.2}",20,0,-45.05690665450688,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.2}",20,0,-61.75802690562068,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.2}",25,7,-21.766418234258094,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.2}",25,0,-70.32737551583354,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.2}",20,0,-106.56376851574659,"{0: 13, 1: 2, 2: 1, 3: 3, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.2}",25,6,-29.87967813404662,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.2}",20,0,27.775367651731575,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.2}",25,0,-136.0369701326322,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.2}",30,0,-66.41782039897592,"{0: 25, 1: 0, 2: 2, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.2}",20,0,-31.79840881410155,"{0: 16, 1: 2, 2: 0, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.2}",20,0,-19.26041269647954,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.2}",20,7,16.675994714407096,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.2}",35,0,-115.3463151932966,"{0: 28, 1: 0, 2: 4, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.2}",20,6,-0.7908539871560356,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.2}",20,3,3.688705811101073,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.2}",20,0,-15.333958827974492,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.2}",25,0,-46.106192657004556,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.2}",20,0,-30.112876254522867,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.2}",25,0,-56.65957351780149,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.2}",30,18,-8.801272804451422,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.2}",20,4,-74.47915795156335,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 2}",1
24,False,"{'a': 0.5, 'e': 0.2}",20,0,-24.822661608441294,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.2}",20,7,-93.54925900695608,"{0: 7, 1: 0, 2: 4, 3: 1, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.2}",35,0,8.543510069527361,"{0: 31, 1: 2, 2: 2, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.2}",20,13,12.484991250599311,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.2}",30,0,-20.35275092487593,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.2}",30,16,-6.064237056381664,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.2}",30,13,29.684419816109003,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.2}",20,4,4.394855636408221,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.2}",20,0,24.352095383410298,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.2}",25,1,-39.270653968643764,"{0: 20, 1: 2, 2: 0, 3: 1, 4: 1}",1
34,False,"{'a': 0.5, 'e': 0.2}",30,16,27.425900791946823,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.2}",20,0,-15.51095367946342,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.2}",25,18,12.77419454232087,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.2}",25,17,-4.921374005517109,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.2}",25,0,11.933432989599602,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.2}",25,3,-47.11095686422135,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 1}",1
