trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9950041652780257}",20,0,-39.1453233233549,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9800665778412416}",20,0,-125.09628071795667,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.955336489125606}",20,0,-62.15492846000441,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9210609940028851}",30,0,-194.59383105798312,"{0: 20, 1: 4, 2: 0, 3: 2, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.8775825618903728}",20,0,-124.31192208100245,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.8253356149096782}",20,0,-110.35449147287049,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.7648421872844884}",25,0,-71.06303336412185,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.6967067093471655}",25,0,-211.496104196239,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.6216099682706645}",20,0,-75.00538401859018,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.5403023058681398}",30,12,-43.38330036218185,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4535961214255773}",25,2,-13.171846757492126,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.3623577544766734}",30,0,0.36269577181370605,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.26749882862458735}",25,3,-16.639794199358352,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.16996714290024081}",20,3,-29.235102209719717,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.0707372016677029}",25,0,26.855248721560116,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': -0.029199522301288815}",25,0,36.71642841321104,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': -0.12884449429552486}",20,16,10.151607182092844,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': -0.2272020946930871}",30,8,37.986592235321396,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': -0.3232895668635036}",30,0,1.0285536685497902,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': -0.4161468365471424}",20,0,19.27854601921664,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,26.191188268194693,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,8.334567162186735,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,4.627532039398374,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",35,3,-16.937835472994564,"{0: 30, 1: 0, 2: 0, 3: 1, 4: 1}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,8,26.757332321713793,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",30,24,12.229732885568648,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,0,3.3689509264406703,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,23.173724521951414,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,13,11.48826067725632,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-20.81804892224785,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
