trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.4470624975703,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.25}",25,0,-66.63286040856433,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.1111111111111111}",25,0,-27.661171645494594,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.0625}",20,0,-70.56767926867118,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.04}",25,0,-80.20297948876025,"{0: 19, 1: 2, 2: 1, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.027777777777777776}",25,0,-61.3249668925553,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.02040816326530612}",30,0,-28.875248578548224,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.015625}",25,0,-43.35033091315965,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.012345679012345678}",25,0,3.0364154234959475,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.01}",20,0,-11.855654151915038,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.008264462809917356}",20,0,-39.45033176996284,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.006944444444444444}",20,0,7.2805824174366585,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.005917159763313609}",20,0,-24.941409265432988,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.00510204081632653}",25,0,16.236913003428526,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.0044444444444444444}",20,0,-24.877688230474163,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.00390625}",30,21,15.136501036994078,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.0034602076124567475}",20,0,19.52480939854521,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.0030864197530864196}",30,0,29.408807275306,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.002770083102493075}",30,0,10.607015114757681,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.0025}",25,0,27.650941946906865,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.0022675736961451248}",25,0,-50.95786648191698,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.002066115702479339}",20,0,23.423129277320065,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.001890359168241966}",20,6,26.015473105489058,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.001736111111111111}",30,22,14.84323258978122,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.0016}",25,11,6.093542385308792,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.0014792899408284023}",25,0,35.175090292273424,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.0013717421124828531}",30,16,19.699055168587886,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.0012755102040816326}",25,5,27.66480918871542,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.0011890606420927466}",20,15,6.864371372257495,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.0011111111111111111}",20,0,24.34654339040639,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.001040582726326743}",20,0,31.55227188471022,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.0009765625}",35,6,43.47248623980681,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.0009182736455463728}",20,0,30.617640856208688,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.0008650519031141869}",25,0,31.92189738382708,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.0008163265306122449}",30,0,-1.1555765319539253,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.0007716049382716049}",20,0,27.198598317540558,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.0007304601899196494}",25,0,41.453034327426536,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.0006925207756232687}",35,0,45.43409482600419,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.0006574621959237344}",20,0,-2.8217046594513056,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.000625}",20,0,29.081679774021904,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.000594883997620464}",25,8,25.584325169778303,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.0005668934240362812}",20,0,26.239566609679144,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.0005408328826392645}",20,10,19.575063613785574,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.0005165289256198347}",30,2,43.767881033061805,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.0004938271604938272}",30,0,35.743135402802935,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.0004725897920604915}",20,0,6.587808523999589,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
