trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.54100848090448,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.7071067811865475}",20,0,-58.62240046753603,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.5773502691896258}",35,0,-85.75338576798868,"{0: 25, 1: 4, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.5}",20,0,-196.39724456852917,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.4472135954999579}",30,0,-62.98498112133199,"{0: 21, 1: 1, 2: 8, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.4082482904638631}",20,0,-26.48975732242161,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.3779644730092272}",20,0,-45.7778552064903,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.35355339059327373}",20,0,-59.208062127968134,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.3333333333333333}",25,0,-81.6984503726388,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.31622776601683794}",25,0,16.436305108661067,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.30151134457776363}",25,5,-145.15065321418712,"{0: 12, 1: 1, 2: 2, 3: 3, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.2886751345948129}",25,0,21.59916427305731,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.2773500981126146}",20,0,-54.0973213163753,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
