trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.990025}",20,0,-131.17983638681505,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-73.25859630761825,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.970225}",30,0,-201.9974698109079,"{0: 15, 1: 2, 2: 9, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9604}",30,0,-144.76660528929145,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.950625}",20,2,-58.82586594795177,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.9409}",30,0,-244.20644195661157,"{0: 15, 1: 2, 2: 7, 3: 3, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.931225}",25,0,-161.65413947383445,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9216}",25,0,-47.36512361476095,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.912025}",30,0,-200.34473654851962,"{0: 18, 1: 3, 2: 4, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9025}",20,0,-102.10351582222201,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.893025}",20,0,-41.22305371043571,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8836}",25,6,-50.745154628105254,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.874225}",25,0,-104.1246694966214,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8649}",30,0,-174.13098643854042,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.855625}",20,0,-83.27427140127269,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8464}",25,0,-109.94786873547208,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.837225}",25,11,-69.31980577239273,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.8281}",25,3,-43.96831092169098,"{0: 13, 1: 6, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.819025}",25,1,-46.960367837248334,"{0: 19, 1: 3, 2: 0, 3: 1, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.81}",20,0,-77.70608747267141,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",0
