trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.5}",25,0,-109.54767434644454,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.5}",20,0,-104.49949450388141,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.5}",20,0,-17.00698586551192,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.5}",20,0,-83.16555874041069,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.5}",20,3,-21.589132520608594,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.5}",25,0,-101.25245557821044,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.5}",25,0,-59.36198750503563,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5}",20,0,-81.78767290531992,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5}",20,0,-26.5038973783692,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.5}",20,6,-12.922111250989609,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.5}",20,12,16.459559876899828,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.5}",20,0,-89.28311382870018,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.5}",20,0,-52.59854684727736,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
