trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,-100,-623.3546092473988,"{0: 78, 1: 14, 2: 16, 3: 9, 4: 8}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,-32,-244.77953827204448,"{0: 32, 1: 7, 2: 9, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,-100,-651.5633466065818,"{0: 75, 1: 12, 2: 16, 3: 7, 4: 10}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,-100,-686.4890004519248,"{0: 76, 1: 12, 2: 17, 3: 3, 4: 12}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,-1,-154.95562986914007,"{0: 12, 1: 4, 2: 7, 3: 2, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,-53,-411.0433469847629,"{0: 40, 1: 11, 2: 11, 3: 7, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,-100,-520.3981740619495,"{0: 76, 1: 18, 2: 21, 3: 4, 4: 6}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,-100,-536.6987310511656,"{0: 82, 1: 12, 2: 15, 3: 10, 4: 6}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,13,-39.378167640067275,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,-100,-433.88381225617155,"{0: 76, 1: 16, 2: 22, 3: 0, 4: 6}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,-100,-664.8612196562174,"{0: 69, 1: 18, 2: 31, 3: 6, 4: 6}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,-100,-610.2265822283415,"{0: 70, 1: 14, 2: 22, 3: 8, 4: 6}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,-82,-474.62673403610717,"{0: 56, 1: 24, 2: 17, 3: 6, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,-3,-82.02878605760758,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,-100,-699.0399347494517,"{0: 77, 1: 16, 2: 24, 3: 2, 4: 11}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,-100,-602.2212370135417,"{0: 80, 1: 8, 2: 31, 3: 4, 4: 7}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,-21,-168.62718236453563,"{0: 27, 1: 3, 2: 8, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,-31,-306.36845696163624,"{0: 39, 1: 7, 2: 8, 3: 2, 4: 5}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,-100,-790.4358656228645,"{0: 67, 1: 16, 2: 17, 3: 8, 4: 12}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,-78,-651.2214460630174,"{0: 56, 1: 8, 2: 26, 3: 4, 4: 9}",0
1,True,"{'a': 0.0, 'e': 0.0}",30,-78,-534.4707074537354,"{0: 70, 1: 11, 2: 13, 3: 6, 4: 8}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,-85,-788.5511719697315,"{0: 54, 1: 18, 2: 20, 3: 7, 4: 11}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,-100,-642.0903760060293,"{0: 74, 1: 16, 2: 16, 3: 3, 4: 11}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,-100,-614.3869447327675,"{0: 70, 1: 15, 2: 29, 3: 4, 4: 7}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,-18,-237.85559431448223,"{0: 22, 1: 2, 2: 8, 3: 3, 4: 3}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,-80,-536.1328631773285,"{0: 61, 1: 12, 2: 14, 3: 5, 4: 8}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,-100,-645.5741530215166,"{0: 67, 1: 21, 2: 18, 3: 5, 4: 9}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,-6,-164.98507465900394,"{0: 20, 1: 0, 2: 6, 3: 3, 4: 2}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,-100,-670.1199292735099,"{0: 64, 1: 15, 2: 28, 3: 6, 4: 7}",0
10,True,"{'a': 0.0, 'e': 0.0}",30,-100,-569.5041626844059,"{0: 81, 1: 13, 2: 23, 3: 7, 4: 6}",0
